From	Entry	Organism
O14164	O14164	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O14270	O14270	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O14470	O14470	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O14640	O14640	Homo sapiens (Human)
O14641	O14641	Homo sapiens (Human)
O14727	O14727	Homo sapiens (Human)
O14896	O14896	Homo sapiens (Human)
O15353	O15353	Homo sapiens (Human)
O15409	O15409	Homo sapiens (Human)
O15631	O15631	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)
O16277	O16277	Caenorhabditis elegans
O16850	O16850	Caenorhabditis elegans
O17536	O17536	Caenorhabditis elegans
O17617	O17617	Caenorhabditis elegans
O18017	O18017	Caenorhabditis elegans
O18381	O18381	Drosophila melanogaster (Fruit fly)
O18650	O18650	Caenorhabditis elegans
O19892	O19892	Cyanidium caldarium (Red alga)
O22056	O22056	Arabidopsis thaliana (Mouse-ear cress)
O22308	O22308	Medicago sativa (Alfalfa)
O22309	O22309	Medicago sativa (Alfalfa)
O22727	O22727	Arabidopsis thaliana (Mouse-ear cress)
O23760	O23760	Clarkia breweri (Fairy fans) (Eucharidium breweri)
O24305	O24305	Pisum sativum (Garden pea) (Lathyrus oleraceus)
O24529	O24529	Medicago sativa (Alfalfa)
O24621	O24621	Arabidopsis thaliana (Mouse-ear cress)
O24629	O24629	Arabidopsis thaliana (Mouse-ear cress)
O24744	O24744	Shewanella violacea (strain JCM 10179 / CIP 106290 / LMG 19151 / DSS12)
O24755	O24755	Vibrio parahaemolyticus serotype O3:K6 (strain RIMD 2210633)
O24933	O24933	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)
O24973	O24973	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)
O25671	O25671	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)
O25699	O25699	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)
O25722	O25722	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)
O25918	O25918	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)
O26715	O26715	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)
O26837	O26837	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)
O27089	O27089	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)
O27246	O27246	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)
O27346	O27346	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)
O27355	O27355	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)
O27463	O27463	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)
O27653	O27653	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)
O27705	O27705	Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum)
O27970	O27970	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O28051	O28051	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O28174	O28174	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O28210	O28210	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O28292	O28292	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O28438	O28438	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O28467	O28467	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O28611	O28611	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O28889	O28889	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O28921	O28921	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O29322	O29322	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O29501	O29501	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O29563	O29563	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O29591	O29591	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O29646	O29646	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O29721	O29721	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O29984	O29984	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O29995	O29995	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O30245	O30245	Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16)
O30330	O30330	Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34) (Ralstonia metallidurans)
O30867	O30867	Haemophilus aegyptius
O30919	O30919	Ralstonia solanacearum (Pseudomonas solanacearum)
O31178	O31178	Bacillus anthracis
O31408	O31408	Geobacillus stearothermophilus (Bacillus stearothermophilus)
O31432	O31432	Bacillus subtilis (strain 168)
O31443	O31443	Bacillus subtilis (strain 168)
O31459	O31459	Bacillus subtilis (strain 168)
O31472	O31472	Bacillus subtilis (strain 168)
O31480	O31480	Bacillus subtilis (strain 168)
O31494	O31494	Bacillus subtilis (strain 168)
O31497	O31497	Bacillus subtilis (strain 168)
O31541	O31541	Bacillus subtilis (strain 168)
O31564	O31564	Bacillus subtilis (strain 168)
O31575	O31575	Bacillus subtilis (strain 168)
O31592	O31592	Bacillus subtilis (strain 168)
O31637	O31637	Bacillus subtilis (strain 168)
O31639	O31639	Bacillus subtilis (strain 168)
O31644	O31644	Bacillus subtilis (strain 168)
O31672	O31672	Bacillus subtilis (strain 168)
O31679	O31679	Bacillus subtilis (strain 168)
O31713	O31713	Bacillus subtilis (strain 168)
O31761	O31761	Bacillus subtilis (strain 168)
O31844	O31844	Bacillus subtilis (strain 168)
O32055	O32055	Bacillus subtilis (strain 168)
O32067	O32067	Bacillus subtilis (strain 168)
O32152	O32152	Bacillus subtilis (strain 168)
O32181	O32181	Bacillus subtilis (strain 168)
O32186	O32186	Bacillus subtilis (strain 168)
O32192	O32192	Bacillus subtilis (strain 168)
O32238	O32238	Bacillus subtilis (strain 168)
O32242	O32242	Bacillus subtilis (strain 168)
O32253	O32253	Bacillus subtilis (strain 168)
O32255	O32255	Bacillus subtilis (strain 168)
O32506	O32506	Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / CCUG 27074 / LMG 4051 / NBRC 15346 / NCIMB 9279 / VKM B-1422 / R1)
O33060	O33060	Mycobacterium leprae (strain TN)
O33321	O33321	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
O33662	O33662	Streptococcus mutans serotype c (strain ATCC 700610 / UA159)
O33812	O33812	Staphylococcus xylosus
O33817	O33817	Thauera aromatica
O33927	O33927	Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8)
O33945	O33945	Acinetobacter lwoffii
O34464	O34464	Bacillus subtilis (strain 168)
O34527	O34527	Bacillus subtilis (strain 168)
O34533	O34533	Bacillus subtilis (strain 168)
O34685	O34685	Bacillus subtilis (strain 168)
O34692	O34692	Bacillus subtilis (strain 168)
O34701	O34701	Bacillus subtilis (strain 168)
O34709	O34709	Bacillus subtilis (strain 168)
O34712	O34712	Bacillus subtilis (strain 168)
O34723	O34723	Bacillus subtilis (strain 168)
O34748	O34748	Bacillus subtilis (strain 168)
O34777	O34777	Bacillus subtilis (strain 168)
O34817	O34817	Bacillus subtilis (strain 168)
O34827	O34827	Bacillus subtilis (strain 168)
O34835	O34835	Bacillus subtilis (strain 168)
O34844	O34844	Bacillus subtilis (strain 168)
O34903	O34903	Bacillus subtilis (strain 168)
O34920	O34920	Bacillus subtilis (strain 168)
O34921	O34921	Bacillus subtilis (strain 168)
O34949	O34949	Bacillus subtilis (strain 168)
O34951	O34951	Bacillus subtilis (strain 168)
O34994	O34994	Bacillus subtilis (strain 168)
O35024	O35024	Bacillus subtilis (strain 168)
O35038	O35038	Bacillus subtilis (strain 168)
O35047	O35047	Mus musculus (Mouse)
O35261	O35261	Mus musculus (Mouse)
O35392	O35392	Mus musculus (Mouse)
O35906	O35906	Mus musculus (Mouse)
O42097	O42097	Oryzias latipes (Japanese rice fish) (Japanese killifish)
O42716	O42716	Aspergillus parasiticus (strain ATCC 56775 / NRRL 5862 / SRRC 143 / SU-1)
O43038	O43038	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O43058	O43058	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O43316	O43316	Homo sapiens (Human)
O43524	O43524	Homo sapiens (Human)
O43638	O43638	Homo sapiens (Human)
O46469	O46469	Bos taurus (Bovine)
O46470	O46470	Bos taurus (Bovine)
O48534	O48534	Arabidopsis thaliana (Mouse-ear cress)
O49160	O49160	Arabidopsis thaliana (Mouse-ear cress)
O50432	O50432	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
O50488	O50488	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
O51804	O51804	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)
O52026	O52026	Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium)
O52029	O52029	Halobacterium salinarum (strain ATCC 700922 / JCM 11081 / NRC-1) (Halobacterium halobium)
O52163	O52163	Streptomyces albus G
O52399	O52399	Edwardsiella ictaluri (strain 93-146)
O53464	O53464	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
O53478	O53478	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
O53590	O53590	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
O53838	O53838	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
O54281	O54281	Mammaliicoccus sciuri (Staphylococcus sciuri)
O54294	O54294	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
O54452	O54452	Rhizobium etli
O54743	O54743	Mus musculus (Mouse)
O54828	O54828	Mus musculus (Mouse)
O54829	O54829	Mus musculus (Mouse)
O54917	O54917	Mus musculus (Mouse)
O57682	O57682	Xenopus laevis (African clawed frog)
O57685	O57685	Xenopus laevis (African clawed frog)
O57802	O57802	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O57818	O57818	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O57864	O57864	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O57880	O57880	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O58276	O58276	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O58348	O58348	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O58353	O58353	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O58362	O58362	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O58391	O58391	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O58393	O58393	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O58533	O58533	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O58741	O58741	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O58782	O58782	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O59041	O59041	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O59188	O59188	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O59209	O59209	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O59256	O59256	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O59309	O59309	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O59499	O59499	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O59579	O59579	Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3)
O60065	O60065	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O60072	O60072	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O60085	O60085	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O60129	O60129	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O60180	O60180	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O60341	O60341	Homo sapiens (Human)
O60548	O60548	Homo sapiens (Human)
O60999	O60999	Dictyostelium discoideum (Social amoeba)
O64789	O64789	Arabidopsis thaliana (Mouse-ear cress)
O64790	O64790	Arabidopsis thaliana (Mouse-ear cress)
O64973	O64973	Arabidopsis thaliana (Mouse-ear cress)
O65983	O65983	Thermoanaerobacterium thermosaccharolyticum (strain ATCC 7956 / DSM 571 / NCIMB 9385 / NCA 3814 / NCTC 13789 / WDCM 00135 / 2032) (Clostridium thermosaccharolyticum)
O66381	O66381	Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125) (Bacillus halodurans)
O66625	O66625	Aquifex aeolicus (strain VF5)
O67699	O67699	Aquifex aeolicus (strain VF5)
O68014	O68014	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)
O68025	O68025	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)
O68281	O68281	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)
O68556	O68556	Bacillus subtilis
O68563	O68563	Pseudomonas fluorescens
O68887	O68887	Streptomyces antibioticus
O69055	O69055	Stutzerimonas stutzeri (Pseudomonas stutzeri)
O69219	O69219	Azotobacter vinelandii
O69266	O69266	Lysinibacillus sphaericus (Bacillus sphaericus)
O69711	O69711	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
O69730	O69730	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
O69772	O69772	Providencia stuartii
O69979	O69979	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
O70132	O70132	Rattus norvegicus (Rat)
O70220	O70220	Mus musculus (Mouse)
O70273	O70273	Mus musculus (Mouse)
O73917	O73917	Oryzias latipes (Japanese rice fish) (Japanese killifish)
O74023	O74023	Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1))
O74443	O74443	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O74788	O74788	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O74967	O74967	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O75140	O75140	Homo sapiens (Human)
O75381	O75381	Homo sapiens (Human)
O75461	O75461	Homo sapiens (Human)
O75478	O75478	Homo sapiens (Human)
O75593	O75593	Homo sapiens (Human)
O75643	O75643	Homo sapiens (Human)
O75916	O75916	Homo sapiens (Human)
O77051	O77051	Drosophila melanogaster (Fruit fly)
O77082	O77082	Dictyostelium discoideum (Social amoeba)
O77302	O77302	Lumbricus rubellus (Humus earthworm)
O78417	O78417	Guillardia theta (Cryptophyte) (Cryptomonas phi)
O78428	O78428	Guillardia theta (Cryptophyte) (Cryptomonas phi)
O78432	O78432	Guillardia theta (Cryptophyte) (Cryptomonas phi)
O80567	O80567	Arabidopsis thaliana (Mouse-ear cress)
O81646	O81646	Capsicum chinense (Scotch bonnet) (Bonnet pepper)
O81825	O81825	Arabidopsis thaliana (Mouse-ear cress)
O82054	O82054	Saccharum officinarum (Sugarcane)
O82387	O82387	Arabidopsis thaliana (Mouse-ear cress)
O82484	O82484	Arabidopsis thaliana (Mouse-ear cress)
O83046	O83046	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)
O83506	O83506	Treponema pallidum (strain Nichols)
O83964	O83964	Treponema pallidum (strain Nichols)
O84072	O84072	Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx)
O84744	O84744	Chlamydia trachomatis serovar D (strain ATCC VR-885 / DSM 19411 / UW-3/Cx)
O85222	O85222	Pseudomonas protegens (strain DSM 19095 / LMG 27888 / CFBP 6595 / CHA0)
O86029	O86029	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)
O86082	O86082	Herbaspirillum seropedicae
O86130	O86130	Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46)
O86331	O86331	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
O86810	O86810	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
O86847	O86847	Streptomyces clavuligerus
O86948	O86948	Thermotoga neapolitana
O87324	O87324	Mycobacterium marinum
O87775	O87775	Latilactobacillus sakei (Lactobacillus sakei)
O87883	O87883	Mycobacterium xenopi
O87940	O87940	Thauera aromatica
O87971	O87971	Yersinia ruckeri
O88436	O88436	Rattus norvegicus (Rat)
O88470	O88470	Mus musculus (Mouse)
O88544	O88544	Mus musculus (Mouse)
O88621	O88621	Mus musculus (Mouse)
O88700	O88700	Mus musculus (Mouse)
O88879	O88879	Mus musculus (Mouse)
O89033	O89033	Mus musculus (Mouse)
O93529	O93529	Xenopus laevis (African clawed frog)
O93530	O93530	Xenopus laevis (African clawed frog)
O93728	O93728	Pyrobaculum aerophilum (strain ATCC 51768 / DSM 7523 / JCM 9630 / CIP 104966 / NBRC 100827 / IM2)
O93774	O93774	Saccharolobus solfataricus (strain ATCC 35092 / DSM 1617 / JCM 11322 / P2) (Sulfolobus solfataricus)
O94424	O94424	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O94446	O94446	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O94553	O94553	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O94663	O94663	Schizosaccharomyces pombe (strain 972 / ATCC 24843) (Fission yeast)
O94810	O94810	Homo sapiens (Human)
O95238	O95238	Homo sapiens (Human)
O95251	O95251	Homo sapiens (Human)
O95398	O95398	Homo sapiens (Human)
O95671	O95671	Homo sapiens (Human)
P00579	P00579	Escherichia coli (strain K12)
P01105	P01105	Avian leukemia virus E26
P02251	P02251	Oryctolagus cuniculus (Rabbit)
P02252	P02252	Oryctolagus cuniculus (Rabbit)
P02253	P02253	Bos taurus (Bovine)
P02254	P02254	Salmo trutta (Brown trout)
P02255	P02255	Drosophila melanogaster (Fruit fly)
P02256	P02256	Parechinus angulosus (Angulate sea urchin) (Cidaris angulosus)
P02257	P02257	Echinolampas crassa (Sea urchin) (Palaeolampas crassa)
P02258	P02258	Anser anser anser (Western greylag goose)
P02259	P02259	Gallus gallus (Chicken)
P02964	P02964	Bacillus licheniformis
P03030	P03030	Escherichia coli (strain K12)
P03031	P03031	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)
P03067	P03067	Escherichia coli
P03687	P03687	Salmonella phage P22 (Bacteriophage P22)
P03688	P03688	Escherichia phage lambda (Bacteriophage lambda)
P03707	P03707	Escherichia phage lambda (Bacteriophage lambda)
P03856	P03856	Escherichia coli (strain K12)
P04680	P04680	Rhizobium leguminosarum bv. trifolii
P04681	P04681	Rhizobium leguminosarum bv. viciae
P04682	P04682	Bradyrhizobium sp. (strain ANU 289)
P04743	P04743	Escherichia coli
P05051	P05051	Enterobacter cloacae
P05338	P05338	Klebsiella aerogenes (Enterobacter aerogenes)
P05455	P05455	Homo sapiens (Human)
P05827	P05827	Escherichia coli (strain K12)
P06019	P06019	Escherichia phage Mu (Bacteriophage Mu)
P06134	P06134	Escherichia coli (strain K12)
P06144	P06144	Lytechinus pictus (Painted sea urchin)
P06222	P06222	Bacillus subtilis (strain 168)
P06224	P06224	Bacillus subtilis (strain 168)
P06348	P06348	Sus scrofa (Pig)
P06349	P06349	Rattus norvegicus (Rat)
P06350	P06350	Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri)
P06513	P06513	Cairina moschata (Muscovy duck)
P06534	P06534	Bacillus subtilis (strain 168)
P06555	P06555	Bacillus licheniformis
P06574	P06574	Bacillus subtilis (strain 168)
P06601	P06601	Drosophila melanogaster (Fruit fly)
P06614	P06614	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
P06626	P06626	Escherichia coli (strain K12)
P06709	P06709	Escherichia coli (strain K12)
P06735	P06735	Staphylococcus epidermidis
P06892	P06892	Xenopus laevis (African clawed frog)
P06893	P06893	Xenopus laevis (African clawed frog)
P06894	P06894	Platynereis dumerilii (Dumeril's clam worm)
P06895	P06895	Platynereis dumerilii (Dumeril's clam worm)
P07026	P07026	Escherichia coli (strain K12)
P07040	P07040	Escherichia phage D108 (Bacteriophage D108)
P07074	P07074	Enterobacteria phage T4 (Bacteriophage T4)
P07280	P07280	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P07281	P07281	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P07305	P07305	Homo sapiens (Human)
P07545	P07545	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))
P07636	P07636	Escherichia phage Mu (Bacteriophage Mu)
P07774	P07774	Acinetobacter baylyi (strain ATCC 33305 / BD413 / ADP1)
P07796	P07796	Strongylocentrotus purpuratus (Purple sea urchin)
P07860	P07860	Bacillus subtilis (strain 168)
P08076	P08076	Streptomyces griseus
P08283	P08283	Pisum sativum (Garden pea) (Lathyrus oleraceus)
P08284	P08284	Gallus gallus (Chicken)
P08285	P08285	Gallus gallus (Chicken)
P08286	P08286	Gallus gallus (Chicken)
P08287	P08287	Gallus gallus (Chicken)
P08288	P08288	Gallus gallus (Chicken)
P08368	P08368	Escherichia coli (strain K12)
P08567	P08567	Homo sapiens (Human)
P08719	P08719	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)
P09082	P09082	Drosophila melanogaster (Fruit fly)
P09083	P09083	Drosophila melanogaster (Fruit fly)
P09084	P09084	Mus musculus (Mouse)
P09119	P09119	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
P09426	P09426	Anas platyrhynchos (Mallard) (Anas boschas)
P09987	P09987	Gallus gallus (Chicken)
P0A032	P0A032	Staphylococcus aureus (strain Mu50 / ATCC 700699)
P0A041	P0A041	Staphylococcus epidermidis (strain ATCC 12228 / FDA PCI 1200)
P0A0C8	P0A0C8	Staphylococcus aureus
P0A0I8	P0A0I8	Staphylococcus aureus (strain Mu50 / ATCC 700699)
P0A0P9	P0A0P9	Staphylococcus aureus (strain MW2)
P0A0S7	P0A0S7	Neisseria meningitidis serogroup A / serotype 4A (strain DSM 15465 / Z2491)
P0A0S9	P0A0S9	Neisseria meningitidis serogroup C
P0A0W6	P0A0W6	Xanthomonas axonopodis pv. citri (strain 306)
P0A0Y9	P0A0Y9	Neisseria meningitidis serogroup A / serotype 4A (strain DSM 15465 / Z2491)
P0A153	P0A153	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)
P0A1V2	P0A1V2	Shigella flexneri
P0A253	P0A253	Salmonella typhi
P0A2E3	P0A2E3	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
P0A2Q2	P0A2Q2	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
P0A2Q4	P0A2Q4	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
P0A2S0	P0A2S0	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
P0A2T4	P0A2T4	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
P0A2T6	P0A2T6	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
P0A2T8	P0A2T8	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
P0A2U0	P0A2U0	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)
P0A2Y2	P0A2Y2	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
P0A3E3	P0A3E3	Bordetella pertussis (strain Tohama I / ATCC BAA-589 / NCTC 13251)
P0A3E6	P0A3E6	Listeria monocytogenes serovar 1/2a (strain ATCC BAA-679 / EGD-e)
P0A3I8	P0A3I8	Agrobacterium fabrum (strain C58 / ATCC 33970) (Agrobacterium tumefaciens (strain C58))
P0A3J5	P0A3J5	Aeromonas hydrophila
P0A3Z9	P0A3Z9	Lactococcus lactis subsp. lactis (strain IL1403) (Streptococcus lactis)
P0A459	P0A459	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
P0A4H7	P0A4H7	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
P0A4H9	P0A4H9	Streptococcus agalactiae serotype III (strain NEM316)
P0A4I1	P0A4I1	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)
P0A4I3	P0A4I3	Bacillus cereus (strain ATCC 14579 / DSM 31 / CCUG 7414 / JCM 2152 / NBRC 15305 / NCIMB 9373 / NCTC 2599 / NRRL B-3711)
P0A4I9	P0A4I9	Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4)
